Unnamed: 0,name,F1,F1 Precision,F1 Recall,F1 Threshold,F1 FPPI,mAP,bbox_size_median,bbox_size_std,bbox_size_min,bbox_size_max,num_frames,model
34,drone_detection_dataset_2021_IR_DRONE_151,,0.0,0.0,0.0,1.0,0.0,9.0,1.9594574974238472,9.0,16.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
35,drone_detection_dataset_2021_IR_DRONE_155,0.5614035087719298,0.4324324324324324,0.8,0.0,1.05,0.3960585585585586,12.0,2.481510575605533,9.0,16.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
36,drone_detection_dataset_2021_V_DRONE_039,1.0,1.0,1.0,0.0,0.0,1.0,8.0,2.667543715421401,8.0,18.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
37,drone_detection_dataset_2021_V_DRONE_050,0.6575342465753423,0.8888888888888888,0.5217391304347826,0.2,0.15,0.5184178743961355,19.99864002816,17.599676244783513,7.999488,89.99936,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
38,drone_detection_dataset_2021_V_DRONE_069,0.9302325581395348,0.8695652173913043,1.0,0.0,0.15,0.9619565217391302,25.0,31.941262773209992,8.99846406144,132.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
39,TIE_2023_20230914T153103_basler_halfres,0.7142857142857143,0.8333333333333334,0.625,0.0,0.3333333333333333,0.6145833333333334,27.94144656861075,23.03456529116298,16.4473848684375,78.448841089709,3,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
40,TIE_2023_20230914T102858_basler_halfres,0.5454545454545454,1.0,0.375,0.76,0.0,0.375,65.09632662991908,151.40701792316568,20.8312723805681,486.1018388518006,4,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
41,TIE_2023_20230914T130250_basler_halfres,0.2222222222222222,0.1666666666666666,0.3333333333333333,0.33,1.6666666666666667,0.0555555555555555,16.44816658083657,1.552083918816195,16.23420056854392,19.02307793918919,3,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
42,mantis_2023_20230324T163455_crontab_recording_person_windy_sunny_EO_zoom,0.1895093062605753,0.8888888888888888,0.106060606060606,0.0,0.0357142857142857,0.1043771043771043,20.833333333333336,104.6518676231767,9.615384615384617,861.2426035502959,28,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
43,leusderheide_20230706_visual_halfres_CPFS7_0333,0.1176470588235294,1.0,0.0625,0.55,0.0,0.002840909090909,69.9615478515625,80.72749663938826,29.296875,382.6530612244899,15,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_naval_06022024
