Unnamed: 0,model,recall,precision,model_name,model_type
482,multi-frame-adv-mist-more-var,0.8200000000000001,0.6146757100888453,adv-mist-more-var,multi-frame
483,multi-frame-adv-mist-more-var,0.8300000000000001,0.5801093147112947,adv-mist-more-var,multi-frame
484,multi-frame-adv-mist-more-var,0.84,0.5455429193337445,adv-mist-more-var,multi-frame
485,multi-frame-adv-mist-more-var,0.85,0.510976523956194,adv-mist-more-var,multi-frame
486,multi-frame-adv-mist-more-var,0.86,0.4764101285786434,adv-mist-more-var,multi-frame
487,multi-frame-adv-mist-more-var,0.87,0.4418437332010929,adv-mist-more-var,multi-frame
488,multi-frame-adv-mist-more-var,0.88,0.4072773378235424,adv-mist-more-var,multi-frame
489,multi-frame-adv-mist-more-var,0.89,0.3727109424459918,adv-mist-more-var,multi-frame
490,multi-frame-adv-mist-more-var,0.9,0.3381445470684413,adv-mist-more-var,multi-frame
491,multi-frame-adv-mist-more-var,0.91,0.3035781516908908,adv-mist-more-var,multi-frame
492,multi-frame-adv-mist-more-var,0.92,0.0,adv-mist-more-var,multi-frame
493,multi-frame-adv-mist-more-var,0.93,0.0,adv-mist-more-var,multi-frame
494,multi-frame-adv-mist-more-var,0.94,0.0,adv-mist-more-var,multi-frame
495,multi-frame-adv-mist-more-var,0.95,0.0,adv-mist-more-var,multi-frame
496,multi-frame-adv-mist-more-var,0.96,0.0,adv-mist-more-var,multi-frame
497,multi-frame-adv-mist-more-var,0.97,0.0,adv-mist-more-var,multi-frame
498,multi-frame-adv-mist-more-var,0.98,0.0,adv-mist-more-var,multi-frame
499,multi-frame-adv-mist-more-var,0.99,0.0,adv-mist-more-var,multi-frame
700,multi-frame-no-mist-aug,0.0,1.0,no-mist-aug,multi-frame
701,multi-frame-no-mist-aug,0.01,1.0,no-mist-aug,multi-frame
702,multi-frame-no-mist-aug,0.02,1.0,no-mist-aug,multi-frame
703,multi-frame-no-mist-aug,0.03,1.0,no-mist-aug,multi-frame
704,multi-frame-no-mist-aug,0.04,1.0,no-mist-aug,multi-frame
705,multi-frame-no-mist-aug,0.05,1.0,no-mist-aug,multi-frame
706,multi-frame-no-mist-aug,0.06,1.0,no-mist-aug,multi-frame
707,multi-frame-no-mist-aug,0.07,1.0,no-mist-aug,multi-frame
708,multi-frame-no-mist-aug,0.08,1.0,no-mist-aug,multi-frame
709,multi-frame-no-mist-aug,0.09,1.0,no-mist-aug,multi-frame
710,multi-frame-no-mist-aug,0.1,1.0,no-mist-aug,multi-frame
711,multi-frame-no-mist-aug,0.11,1.0,no-mist-aug,multi-frame
712,multi-frame-no-mist-aug,0.12,1.0,no-mist-aug,multi-frame
713,multi-frame-no-mist-aug,0.13,1.0,no-mist-aug,multi-frame
714,multi-frame-no-mist-aug,0.14,1.0,no-mist-aug,multi-frame
715,multi-frame-no-mist-aug,0.15,1.0,no-mist-aug,multi-frame
716,multi-frame-no-mist-aug,0.16,1.0,no-mist-aug,multi-frame
717,multi-frame-no-mist-aug,0.17,1.0,no-mist-aug,multi-frame
718,multi-frame-no-mist-aug,0.18,1.0,no-mist-aug,multi-frame
719,multi-frame-no-mist-aug,0.19,1.0,no-mist-aug,multi-frame
720,multi-frame-no-mist-aug,0.2,1.0,no-mist-aug,multi-frame
721,multi-frame-no-mist-aug,0.21,1.0,no-mist-aug,multi-frame
722,multi-frame-no-mist-aug,0.22,1.0,no-mist-aug,multi-frame
723,multi-frame-no-mist-aug,0.23,1.0,no-mist-aug,multi-frame
724,multi-frame-no-mist-aug,0.24,1.0,no-mist-aug,multi-frame
725,multi-frame-no-mist-aug,0.25,1.0,no-mist-aug,multi-frame
726,multi-frame-no-mist-aug,0.26,1.0,no-mist-aug,multi-frame
727,multi-frame-no-mist-aug,0.27,1.0,no-mist-aug,multi-frame
728,multi-frame-no-mist-aug,0.28,1.0,no-mist-aug,multi-frame
729,multi-frame-no-mist-aug,0.29,1.0,no-mist-aug,multi-frame
730,multi-frame-no-mist-aug,0.3,1.0,no-mist-aug,multi-frame
731,multi-frame-no-mist-aug,0.31,1.0,no-mist-aug,multi-frame
732,multi-frame-no-mist-aug,0.32,1.0,no-mist-aug,multi-frame
733,multi-frame-no-mist-aug,0.33,1.0,no-mist-aug,multi-frame
734,multi-frame-no-mist-aug,0.34,1.0,no-mist-aug,multi-frame
735,multi-frame-no-mist-aug,0.35,1.0,no-mist-aug,multi-frame
736,multi-frame-no-mist-aug,0.36,1.0,no-mist-aug,multi-frame
737,multi-frame-no-mist-aug,0.37,1.0,no-mist-aug,multi-frame
738,multi-frame-no-mist-aug,0.38,1.0,no-mist-aug,multi-frame
739,multi-frame-no-mist-aug,0.39,1.0,no-mist-aug,multi-frame
740,multi-frame-no-mist-aug,0.4,1.0,no-mist-aug,multi-frame
741,multi-frame-no-mist-aug,0.41,1.0,no-mist-aug,multi-frame
742,multi-frame-no-mist-aug,0.42,1.0,no-mist-aug,multi-frame
743,multi-frame-no-mist-aug,0.43,1.0,no-mist-aug,multi-frame
744,multi-frame-no-mist-aug,0.44,1.0,no-mist-aug,multi-frame
745,multi-frame-no-mist-aug,0.45,0.998477564102564,no-mist-aug,multi-frame
746,multi-frame-no-mist-aug,0.46,0.9941346153846154,no-mist-aug,multi-frame
747,multi-frame-no-mist-aug,0.47,0.9935897435897436,no-mist-aug,multi-frame
