bbox_x,bbox_y,bbox_w,bbox_h,class_id,label,confidence,timestamp,track_id,n
1231,535,38,30,0,object,0.0941067710518837,2.367,67,11
0,993,10,21,0,object,0.1383232176303863,2.367,69,6
1897,701,15,17,0,object,0.1183922663331031,2.367,70,6
325,445,23,16,0,object,0.0806918740272522,2.367,71,6
1870,827,20,46,0,object,0.0811319723725318,2.367,74,1
649,923,30,24,0,object,0.2759469747543335,2.833,20,114
674,302,33,19,0,object,0.2962951064109802,2.833,30,65
1042,652,18,18,0,object,0.0828698948025703,2.833,49,55
1876,887,15,27,0,object,0.1331594586372375,2.833,65,28
1841,960,20,37,0,object,0.1154098212718963,2.833,66,41
0,993,10,25,0,object,0.0892461389303207,2.833,69,20
1892,703,17,35,0,object,0.095317505300045,2.833,70,18
1460,1020,47,25,0,object,0.1692162305116653,2.833,75,14
1869,843,27,40,0,object,0.0958321541547775,2.833,76,19
1837,987,19,20,0,object,0.1174017116427421,2.833,77,17
1702,1017,36,44,0,object,0.101952888071537,2.833,79,6
1846,960,15,21,0,object,0.1154152080416679,2.833,82,18
652,922,31,23,0,object,0.3281452059745788,3.3,20,141
675,302,33,19,0,object,0.3038356900215149,3.3,30,79
30,1056,24,22,0,object,0.0867195278406143,3.3,62,44
1460,1020,47,25,0,object,0.1642181426286697,3.3,75,28
1881,867,15,15,0,object,0.0878073126077652,3.3,76,37
1702,1017,36,44,0,object,0.1037934198975563,3.3,79,20
1835,990,26,25,0,object,0.1523840874433517,3.3,87,12
1790,1053,21,22,0,object,0.1284584999084472,3.3,89,10
1844,967,15,18,0,object,0.1869723498821258,3.3,91,31
1895,660,15,15,0,object,0.1142706200480461,3.3,92,8
1876,892,15,24,0,object,0.1506664007902145,3.3,93,1
1861,895,15,19,0,object,0.1237476840615272,3.3,94,1
1830,101,51,25,0,object,0.1074004471302032,3.767,11,79
638,914,109,44,0,object,0.1518470644950866,3.767,20,175
671,302,36,20,0,object,0.0843592509627342,3.767,30,93
891,468,117,43,0,object,0.1144489198923111,3.767,66,58
1896,702,16,30,0,object,0.1063827648758888,3.767,70,75
1836,991,15,16,0,object,0.0997345373034477,3.767,87,43
350,948,108,34,0,object,0.2380595207214355,3.767,103,3
231,881,111,54,0,object,0.2783756554126739,3.767,104,3
306,671,90,37,0,object,0.2396117001771927,3.767,105,3
462,597,72,36,0,object,0.2091545015573501,3.767,106,3
1197,883,75,56,0,object,0.2064657658338546,3.767,107,3
1160,719,116,44,0,object,0.133302628993988,3.767,108,3
1613,36,108,107,0,object,0.1683916747570037,3.767,109,3
1292,523,16,39,0,object,0.1537962406873703,3.767,110,3
1374,301,36,95,0,object,0.1245256289839744,3.767,111,3
232,911,105,33,0,object,0.1466849893331527,3.767,112,3
1161,661,99,43,0,object,0.087694227695465,3.767,113,3
1298,591,36,120,0,object,0.1245918497443199,3.767,114,3
1654,157,31,72,0,object,0.1126818433403968,3.767,115,3
651,743,90,40,0,object,0.1186501607298851,3.767,116,3
1562,866,123,127,0,object,0.0965642258524894,3.767,117,3
1252,752,28,52,0,object,0.1271026730537414,3.767,119,3
434,438,121,66,0,object,0.1167594417929649,3.767,120,3
457,572,84,37,0,object,0.0980538874864578,3.767,121,3
1022,301,16,34,0,object,0.1066429764032363,3.767,122,3
1421,274,52,34,0,object,0.0903530046343803,3.767,123,3
1215,755,57,40,0,object,0.1069947332143783,3.767,124,3
1274,521,19,39,0,object,0.0987329557538032,3.767,125,3
1279,522,16,39,0,object,0.0978002771735191,3.767,126,3
1046,967,27,96,0,object,0.0931583046913147,3.767,127,3
1643,44,70,94,0,object,0.0945351123809814,3.767,128,3
1535,315,36,84,0,object,0.0847297757863998,3.767,129,4
1258,755,20,45,0,object,0.105076789855957,3.767,130,3
1253,758,19,35,0,object,0.0945525467395782,3.767,131,3
454,574,108,43,0,object,0.1006922423839569,3.767,132,3
